tool_name,usage_2023,usage_2024,yoy_growth
Codeium,1.95,6.32,224.1
Whispr AI,1.76,1.07,-39.2
GitHub Copilot,85.23,42.81,-49.77
Replit Ghostwriter,1.29,0.43,-66.67
Tabnine,20.05,5.24,-73.87
