Category: All categories

Week,Perplexity: (Worldwide),Stable Diffusion: (Worldwide),cursor: (Worldwide),notion ai: (Worldwide),Grammarly: (Worldwide)
2025-06-08,0,10,48,2,31
2025-06-15,0,10,47,2,29
2025-06-22,0,10,47,2,29
2025-06-29,0,9,45,2,28
2025-07-06,0,10,47,2,27
2025-07-13,0,10,46,2,27
2025-07-20,0,10,46,2,27
2025-07-27,0,10,45,3,26
2025-08-03,0,13,60,4,27
2025-08-10,0,18,66,6,30
2025-08-17,4,17,58,5,35
2025-08-24,72,14,54,4,38
2025-08-31,91,14,52,4,39
2025-09-07,69,13,47,4,42
2025-09-14,<1,14,48,5,41
2025-09-21,<1,14,50,8,42
2025-09-28,0,14,49,8,41
2025-10-05,0,13,47,6,41
2025-10-12,0,14,49,6,39
2025-10-19,0,13,47,6,42
2025-10-26,0,12,52,5,39
2025-11-02,0,12,53,5,38
2025-11-09,0,12,54,6,38
2025-11-16,1,13,53,6,37
2025-11-23,39,16,47,5,28
2025-11-30,100,17,47,6,34
2025-12-07,92,13,47,5,33
2025-12-14,84,13,51,4,29
2025-12-21,63,12,43,4,14
2025-12-28,55,12,38,4,14
